Material,brand_name,color_name,Weight,Price (USD),Availability,Image URL,Product URL
ASA,Prusament ASA,Olive Green – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/289775e2-e7db-482c-ace4-5326bc0341c4.png,https://www.prusa3d.com/product/product/prusament-asa-olive-green-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Prusa Galaxy Black – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/bf2eaca4-931b-4f69-bd1d-4ca02185740d.png,https://www.prusa3d.com/product/product/prusament-asa-prusa-galaxy-black-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Prusa Orange – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/3b8ef900-2dc8-4780-a7df-5e3aa2b01962.png,https://www.prusa3d.com/product/product/prusament-asa-prusa-orange-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Prusa Pro Green,25g,2.190083,In stock,/content/images/product/008ef881-c2a4-4f3f-aba4-c162539750e2.jpg,https://www.prusa3d.com/product/product/prusament-asa-prusa-pro-green-25g-sample//
ASA,Prusament ASA,Prusa Pro Green – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/1dff1526-1112-4e5b-af42-d531195f997b.png,https://www.prusa3d.com/product/product/prusament-asa-prusa-pro-green-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Sapphire Blue,25g,2.190083,In stock,/content/images/product/5ee1028d-284d-4ab3-bdfe-b87557d7d7af.jpg,https://www.prusa3d.com/product/product/prusament-asa-sapphire-blue-25g-sample//
ASA,Prusament ASA,Sapphire Blue – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/5de37d28-9eb1-4eb2-816d-29e7aaf020a3.png,https://www.prusa3d.com/product/product/prusament-asa-sapphire-blue-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Signal White – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/9eec856d-4749-4ffa-a361-49ad68240212.png,https://www.prusa3d.com/product/product/prusament-asa-signal-white-800g-nfc-multipack-10-pcs//
PA11,Prusament PA11,Carbon Fiber Black,800g,155.546281,In stock,/content/images/product/5a816ab8-5354-4250-ab91-669d493e8cf9.png,https://www.prusa3d.com/product/product/prusament-pa11-carbon-fiber-black-800g-nfc//
PA11,Prusament PA11,Carbon Fiber Black – Multipack 10 pcs,800g,1555.462810,Estimated leadtime 1 week,/content/images/product/0e50977b-59f6-481f-94a2-c1d2c2832f4c.png,https://www.prusa3d.com/product/product/prusament-pa11-carbon-fiber-black-800g-nfc-multipack-10-pcs//
PC,Prusament PC Blend,Jet Black,2kg,98.138889,In stock,/content/images/product/803e6746-6d08-479a-a7e0-fd49bbdcd684.png,https://www.prusa3d.com/product/product/prusament-pc-blend-jet-black-2kg-nfc//
PC,Prusament PC Blend,Natural,900g,42.582645,In stock,/content/images/product/31183224-90bd-44eb-b357-2268146ebd2d.jpg,https://www.prusa3d.com/product/product/prusament-pc-blend-natural-900g-nfc//
PC,Prusament PC Blend,Prusa Orange,900g,42.582645,In stock,/content/images/product/587bccbb-6a92-4d16-a3e7-57facc45b4b2.jpg,https://www.prusa3d.com/product/product/prusament-pc-blend-prusa-orange-900g-nfc//
PC,Prusament PC Blend,Prusa Pro Green,900g,42.582645,In stock,/content/images/product/e11ee1cd-5a15-477f-96b5-b06e9b781744.jpg,https://www.prusa3d.com/product/product/prusament-pc-blend-prusa-pro-green-900g-nfc//
PC,Prusament PC Blend,Urban Grey,900g,42.582645,In stock,/content/images/product/5f58f0f8-69bb-49a5-b19e-c4f69191555f.jpg,https://www.prusa3d.com/product/product/prusament-pc-blend-urban-grey-900g-nfc//
